x,y,z
-1.5801519,-2.3990070,0.4505583
1.1157144,-2.6378973,-0.0940467
0.2082817,-2.8346471,0.3444865
1.4116015,-2.3562383,0.0754417
3.0419520,0.7099511,0.0564515
0.2690239,2.4225128,0.2346603
0.3704219,-2.6708285,-0.2730528
2.3869259,2.1924212,-0.1221315
1.6708796,-1.2866515,-0.0614883
-2.8213641,-1.5463914,0.7090896
-2.6260845,-0.3221365,-0.3624664
-2.8471459,-2.0113533,-0.0473040
0.4624412,2.5867019,-0.9452378
-0.5116329,2.4178370,0.0540079
-2.4318001,0.3925058,0.0706487
2.5129195,0.8454991,0.2915924
0.0312201,2.3351251,0.0239443
3.0663956,-0.0998646,-0.6046279
0.7306732,-2.5599177,0.0020094
1.7295307,-1.7987081,0.1716113
-2.9641785,0.5406755,-0.0197642
2.2769492,0.4258049,-0.5968243
-0.7297363,2.4133810,0.5902973
0.4522494,3.0386876,0.4962957
0.7670255,-2.1271576,0.3535658
-2.1567211,1.2774370,-0.1836206
1.1467728,-4.4538015,0.4704132
1.0285553,-2.6731695,0.4348702
-0.9754700,-2.4262091,-0.3105196
-2.1941515,0.8036243,0.0828287
-0.6557175,2.8241336,-0.8063491
-2.3925052,-1.5790786,-0.1563220
0.5118875,3.1130766,0.0584887
2.0125946,1.4879497,-0.2740653
-1.1811483,-2.2841682,-0.1820937
-2.0489592,-1.7129199,0.5541253
-0.1244282,2.4299777,0.2298138
-1.5251967,2.6003570,-0.1808019
2.2007508,2.0617547,-0.4687745
-1.4514104,2.2555708,0.1049810
-2.5295036,0.8117503,-0.2623459
-1.7341136,-2.2693225,0.1926185
-0.3208370,2.6083267,-0.1290745
-1.9442435,1.1475877,0.1295213
0.1345929,-2.9114580,-0.0887408
0.4288628,3.2602082,0.4094930
-1.9643945,-2.3399776,-0.0842886
-1.5937712,-3.1140787,-0.0820816
2.6384090,-1.5929163,0.0634940
-2.0796455,2.2941596,0.0658136
2.6349735,0.1916501,0.0600653
0.1158680,2.7819125,0.0726468
-2.1530939,-2.6816821,0.2199511
-1.4112356,-2.0066329,0.4341030
0.0524446,2.8047442,-0.7539729
-0.3565980,2.4027082,-0.4554378
0.3795647,-1.8676179,0.1019638
1.6325648,-2.1914419,0.1364433
-1.9092101,2.8665990,0.0890079
2.5897845,-2.2263612,-0.1146332
2.1668353,-1.3769705,-0.1118406
-1.1167560,-2.3888331,0.7453585
2.0707816,-0.9411022,-0.2291427
-2.7179612,0.9573196,-0.1259262
-0.4243399,-1.9006059,-0.0713720
-2.9566903,-2.0848482,-0.0167876
1.2639531,-1.9348810,0.3441048
-2.1298427,-1.4195433,-0.1565530
-1.9269037,1.1784631,-0.0149903
-2.9115294,0.0218191,-0.2649429
-2.8789518,0.2274497,0.4095428
1.2488465,2.7630833,-0.0025999
-0.6147238,-2.7233928,0.3579088
-2.7604068,-0.0642771,0.4713016
-3.0601254,0.4374365,-0.1405788
-3.2893064,-1.5996789,0.1693328
-2.9343868,-0.4760497,0.1051676
-3.3484106,0.0577432,-0.3234431
0.2423917,2.5295958,-0.4309722
-0.0304005,2.7346475,0.0430549
1.8734569,0.1570716,0.0382316
1.3845261,2.1041401,-0.0174368
-0.8725452,2.7344951,-0.6538338
-2.9923521,0.0031844,0.0023963
1.0089901,-2.0999698,0.1250231
-0.5461696,2.1522394,0.2901132
2.6508406,1.3274339,0.0330053
-0.2419901,-3.3277278,0.5840523
2.8935431,0.5930255,0.0937463
-3.1285090,-0.5122835,0.0637838
-2.0997836,-0.1703801,0.0669551
0.3765480,2.6535975,0.4152631
-2.3605868,1.7901123,-0.4497003
2.8022224,-1.2789688,-0.1659409
-2.2838392,-1.9227306,0.1658173
0.3345096,-2.7306675,-0.0930031
-1.8007542,-2.9954064,0.3780433
1.4015304,1.9253363,-0.1024326
0.1851543,2.0157025,0.1976388
-3.0203641,0.6238001,-0.0527460
-0.7244842,-2.9273976,-0.2485756
-0.5204946,2.4524703,0.9678746
-0.0090090,2.5357124,-0.3413029
-1.2098616,-2.2073327,0.0565211
3.1189910,1.5567796,-0.1481649
-2.4670437,-0.3003104,0.1206438
-2.1690142,1.2906162,-0.1007792
-2.9870978,-1.4254975,-0.1572444
1.6095273,2.1987339,0.0599766
-1.5687155,-1.3139346,0.6679476
-2.6497809,0.9862531,0.1679178
-0.8464711,2.3667936,-0.0863549
-2.4376230,-1.9810932,0.1763313
-2.0801660,-2.2616860,-0.0039353
0.0318574,-2.5638319,-0.1711883
-3.9744749,-1.6288185,0.1333584
-0.4714307,2.5481275,0.3384024
-2.3623132,-0.0929079,0.1066411
-1.7415801,-1.7335806,0.3848857
1.7816917,2.0318964,0.3664877
-1.8452295,2.1194303,-0.3880526
2.3082776,1.1501525,0.7916136
1.5067313,-2.7292464,0.5049688
-1.0929252,-1.9868196,0.3963240
2.8149201,1.7437197,-0.2510926
-0.9237476,2.6470239,-0.3135185
-1.8760547,0.2317605,0.2318614
-2.0449249,-0.5054478,0.0365009
-1.1013487,2.2634279,0.6380954
-1.2846041,-2.5438343,-0.0297753
0.4661914,3.3279107,-0.2971755
1.3990966,-2.6790616,0.0527282
-2.1704315,-1.3600726,0.0781760
1.4432889,-2.3431454,-0.1837671
0.0126135,-2.3665027,-0.2580354
-1.4085210,-2.1504529,-0.0058303
-3.3681433,-0.4020595,0.0252251
1.5959320,2.3815403,-0.2451191
-0.6626517,2.0963924,0.1292064
0.3975934,-3.1981104,-0.3570388
-2.5360233,-0.7806329,0.4652771
2.4377479,1.4622241,-0.0135169
-1.3481370,-1.7519620,0.2823179
-2.8518708,-1.4404997,0.3298763
2.3771783,1.3944824,-0.1013316
-2.8310905,0.0108037,-0.0110234
3.0525901,-0.2266997,0.1359831
2.9098451,-0.0326335,-0.1621711
1.6723007,-1.7438570,-0.3044393
-0.7113509,-2.3836045,0.4991640
2.5991390,0.2974334,-0.1656671
1.3994736,-1.2460225,0.0314566
-0.8870246,-3.4735814,0.1093853
-0.2999488,-2.2008375,0.0639822
-2.0036607,2.1739622,-0.2677754
-3.7114820,-1.4558822,0.2120140
-2.1420555,-2.4502627,0.0848845
-2.8618245,0.4635410,0.0992848
2.0639101,0.3144803,0.2643885
-2.2219870,-1.8311339,1.0980364
-1.7156956,-2.5562179,-0.6037151
-0.4843070,-3.5603498,-0.5362999
-2.0688263,1.0269030,0.8654154
-2.7025455,1.1001433,0.1052834
2.4207061,-2.2720285,-0.5515997
0.7121969,-2.2403738,0.6316962
0.2893163,1.9323330,-0.1910373
2.7042670,0.4648149,-0.0607646
-2.8493243,0.9955240,0.1159553
1.9976777,1.7580637,0.1296728
-1.1824374,3.8363049,-0.1255476
0.5186930,2.7700479,-0.2349582
-1.7480998,1.5847679,-0.2316937
-0.3554357,2.0083449,0.2723249
0.5700119,-2.8789234,-0.0329906
-3.2628932,0.5381201,-0.0273870
-1.3440660,2.1275364,0.2045996
-0.0961096,-1.8963929,-0.1599313
-2.4928895,-0.2691216,-0.2346797
-1.5995025,-2.4850778,-0.0538309
1.1699227,-1.2838183,-0.5734121
-1.0997252,-2.1889167,0.2150778
-2.6023598,-1.5931041,0.4086195
2.0872460,-2.0027495,-0.4649823
1.4879005,2.3713378,-0.2551849
-0.7509349,-2.9294374,-0.3014591
-2.5526172,1.1350299,1.1845784
1.8628335,1.8771751,-0.3466980
0.3696362,1.9126501,-0.0236679
-2.1867200,-2.8430992,0.2746587
-0.0396676,-2.8325677,0.7309569
1.4175995,1.8510603,0.1527338
-1.8833501,1.4445249,0.1812434
1.2988900,2.5204569,-0.7364348
-2.4157581,-2.2007326,0.1559869
1.5035073,-1.8016798,-0.2314959
2.4591840,-1.6560369,-0.1477549
-2.6188912,2.0689320,0.6252723
-2.5612779,-0.7310007,0.0742257
-2.5442451,-1.4156274,0.1766327
-2.1824807,-1.1777000,0.2543646
-1.1647888,-2.8816166,0.6283373
-2.0487553,2.5900882,0.3813922
-0.0146313,-2.3450203,-0.0130600
-2.7170499,2.4624855,-0.5018454
-2.8374147,0.0696420,0.6379794
0.0105004,2.3028067,0.1146889
0.5303024,2.8427933,0.1524289
-1.7405249,-3.0763811,-1.5553466
2.5639248,0.9124492,0.2059236
-2.6745604,0.1150662,-0.2801680
1.8678180,-2.0710195,-0.3285064
1.2713621,2.3240137,0.2194671
2.5172800,0.2471722,0.1219458
-1.7694584,-2.5320752,0.0178989
2.5401450,0.5666698,-0.0268609
-2.2060078,1.9709367,0.2186873
-1.5215633,3.1338496,-0.1218228
-0.7354432,3.2435972,0.2190537
2.7609011,0.1978870,-0.1285485
0.9946212,-2.8011277,-0.2566066
2.9058123,-1.2991648,-0.1194524
0.9582360,2.1327545,-0.8458273
-2.7714059,0.7699232,0.5600713
-1.2557340,-2.6535186,-0.3128294
-0.3162567,-2.5239269,-0.1192073
2.7057202,-1.1925209,0.3287568
-0.3596979,2.0553462,-0.8239323
0.5589545,-2.7722371,0.6855440
-1.9515966,3.0004018,-0.9499335
-2.8974033,-1.1645589,0.2405997
-1.6124318,2.5025809,-0.1202937
2.4669272,1.5419956,0.0794932
-1.5785821,-2.4793580,0.1123905
1.6357968,1.4582305,0.3131394
3.2361933,-0.5517423,0.0552479
3.0583956,1.5805518,0.5558073
3.0081974,-1.1803452,-0.2845003
-2.0450976,0.9757327,0.2019766
-1.3317135,2.1382694,-0.3428625
2.6270554,-0.8846640,-0.6495655
2.0487680,2.3384784,0.2924394
1.4934653,2.1253267,0.1877780
-1.4433504,-2.3264113,-0.3006169
0.3709662,2.7307499,0.2518077
-1.5386540,-1.8240516,-0.1006485
0.8969744,3.2083750,-0.2473475
1.5129821,2.6690229,-0.6150699
-2.1544600,-1.4215403,0.6047555
-3.2731242,0.4551268,1.0421231
2.5145679,2.0322505,-0.5167084
1.1443670,1.5703482,-0.2675512
-2.2336950,1.8153106,0.6518579
0.6539101,2.7960068,-0.2818160
1.3608471,-2.0363253,0.2398906
0.8845231,-1.7590645,0.1251637
-2.9791599,1.5292959,-0.3943394
1.1128186,-2.1613567,0.3126437
-0.0776560,-2.0149034,-0.1728505
1.7457862,2.6231452,-0.1408498
0.8750376,2.3023793,-0.1776478
-2.1817341,-1.6566414,0.0780202
2.8123777,1.0191788,0.9863562
2.7107519,-0.1039067,0.2116921
-1.6111129,-2.1403582,-0.1687617
-2.7503024,-0.9831739,-0.1698800
1.7356879,-2.4737717,0.6490123
-0.9125907,3.3046251,-0.0222656
-0.6410415,2.5993487,0.1500102
-1.0011557,-1.0197854,-0.2680733
1.4484046,1.2101890,-0.5491444
0.4844092,2.2860836,0.0606140
0.0131477,2.9081840,0.9630426
-2.5725003,1.4553236,-0.3515877
0.1023909,2.7127549,0.2197263
3.0772615,0.1379126,0.3454170
2.1326292,-1.0326160,0.0444032
0.5860224,2.5185144,-0.0219895
-0.0346769,-2.2213855,0.1689708
1.3079004,-1.8632943,0.1297533
1.9528812,1.3785936,-0.1454718
-0.2767570,2.9395743,0.3289761
1.3040356,2.4862680,0.1826215
-3.0783318,-0.3947139,0.2350029
-2.6217882,-1.9538675,0.0062946
2.8213303,-0.0680873,-0.1516307
1.1138259,2.5619089,0.3942914
-1.5276386,-2.8698507,0.4015682
-2.4935986,1.2983954,0.1373027
-1.7005698,1.3168511,0.1587478
2.7348548,1.0102270,-0.0662437
-2.1298220,-2.0043936,0.3373489
-1.0524329,-2.0126855,0.1360035
2.3311719,0.9862769,0.4228060
-0.5665635,2.3607863,-0.2776482
-2.4846164,-1.9486232,-0.0862841
2.4116733,0.3386748,0.0579896
2.4952813,-2.4410426,0.0319761
-1.1400964,-2.6942476,0.1007298
-1.5246300,-2.1732847,-0.2024556
