m,peri,node,incl,e,n,a,date,x,y,z
168.1956,314.30584,143.44036,5.18075,0.2028143,0.23250573,2.6192701,20241018,-0.0079122,-3.1343667,0.2286977
99.24925,345.6317,313.16775,11.79572,0.1969099,0.22053223,2.7132387,20241111,1.4481157,2.4409809,0.5693106
71.20086,5.16615,10.30602,7.17515,0.1450094,0.21501362,2.7594682,20241111,-0.6070104,2.5945919,0.3350314
357.83925,104.89548,192.93672,8.08121,0.237131,0.23547242,2.5972237,20241110,0.8090088,-1.7887251,0.2732445
99.88237,210.75954,198.89886,15.23636,0.1085555,0.17597462,3.1538137,20240703,-3.0558589,0.9684335,-0.5191520
335.07849,33.97945,161.06346,5.07231,0.0452679,0.2222627,2.6991374,20240707,-2.5306843,0.5475213,0.0269273
240.22822,211.03668,169.92129,8.64722,0.1168429,0.2204019,2.7143082,20240922,-0.9655001,-2.6976998,0.4296279
21.62034,270.77515,191.52688,3.60061,0.1845435,0.26638604,2.3921867,20241111,-1.3801884,1.4386160,-0.1060544
294.00688,12.86276,333.54969,18.20303,0.1641021,0.19102888,2.9858641,20241011,-0.3371054,-2.7103843,-0.8473656
234.49095,277.65007,125.10382,2.2366,0.1681222,0.17793897,3.1305598,20241014,-0.3988575,-3.4627380,0.0905156
258.36962,295.78552,337.69505,5.7736,0.128209,0.26602816,2.3943317,20240704,-2.3114412,0.9318458,-0.0015321
125.19985,181.00063,308.96154,1.30557,0.1262504,0.22444912,2.6815801,20241011,-0.2054719,-2.8946476,-0.0451232
210.42944,103.65207,155.13686,3.5614,0.1264873,0.15634391,3.4125739,20241111,-0.8419750,3.6974955,-0.1867636
71.99185,43.34237,7.48489,3.04437,0.1725089,0.22906147,2.6454609,20240624,-2.0482020,1.5661303,0.0967739
81.31169,107.25172,202.38441,6.02817,0.1845633,0.26136142,2.4227489,20241110,1.4993267,1.9175353,-0.1269409
325.78522,304.81834,44.0524,7.96086,0.1844895,0.21228852,2.7830331,20241101,1.1884791,-2.0560137,-0.3222060
325.99883,288.23002,184.95241,8.58514,0.1698281,0.19161315,2.9797912,20241004,1.0524281,2.3463121,-0.3391852
176.17247,255.49538,47.64337,11.59692,0.1827468,0.23323253,2.6138258,20241111,-1.5217207,2.6238705,0.5935448
291.74687,267.08732,315.91545,23.24443,0.1766717,0.21570018,2.7536097,20240601,-1.8697679,1.8831106,0.0222625
166.73975,102.88262,207.93417,5.41849,0.1215015,0.28903155,2.2655442,20240528,-1.2750349,2.1778700,-0.2391651
245.86689,56.34287,6.83504,2.36942,0.0422453,0.22660479,2.6645466,20241111,1.5459765,-2.2289520,-0.0991866
339.33361,174.8575,197.11443,4.07207,0.2362032,0.21262818,2.7800686,20241110,2.0372380,-0.8078364,0.0976444
52.24719,339.61865,359.29595,4.98989,0.3038688,0.2252743,2.6750277,20241111,1.0113874,2.1420980,0.1880994
236.98925,252.0743,204.28192,2.12293,0.1674765,0.1565078,3.4101911,20241109,2.8539402,-2.4750094,0.1271347
16.12446,61.343,1.08304,2.42068,0.133927,0.22600113,2.6692893,20241111,0.2591943,2.3138917,0.0975929
15.9233,153.16278,333.30586,8.67906,0.2032704,0.23219159,2.621632,20240701,-1.8511912,1.0341315,0.0140901
24.02553,201.50903,206.51634,4.6132,0.1912313,0.25779171,2.4450632,20241104,0.2383303,2.0190866,-0.1371963
304.00728,139.61339,218.64391,8.67689,0.1996869,0.28326484,2.2961889,20241024,0.3813800,-2.0593440,0.2818070
36.70071,51.29478,0.90482,7.80043,0.2120684,0.20456905,2.8526124,20241108,-0.7084608,2.3000543,0.3165791
245.26651,110.87872,25.42681,2.82634,0.2209041,0.21471397,2.762035,20241110,3.1112101,0.0767438,-0.0625264
335.91821,170.00984,27.66873,4.96721,0.0826758,0.25995411,2.431485,20240708,-2.2097430,0.4119850,0.1208935
236.07765,15.07102,327.50889,9.31344,0.2357541,0.27137592,2.3627721,20240710,-2.5704027,-0.9046667,-0.3515777
317.06209,122.88739,203.04837,11.96028,0.1933554,0.22797899,2.6538284,20240925,-0.2210288,-2.2852031,0.4271068
351.88061,309.06612,86.06908,4.82228,0.2165601,0.18023565,3.1039086,20241106,2.2528909,0.9258054,-0.1842613
35.43536,264.62921,73.00959,10.88039,0.0939261,0.15199418,3.477374,20241106,2.9850858,1.1134146,-0.4861966
115.90366,37.05322,276.3244,5.22264,0.1633931,0.21363624,2.7713163,20241111,0.2840287,3.0086128,0.0560976
213.30076,45.15746,311.53483,16.12175,0.1841269,0.2418769,2.5511723,20240628,-2.6987004,-0.9580121,-0.7675206
138.15278,244.50212,69.91789,2.20608,0.1710753,0.17669895,3.1451889,20241111,-0.8511615,3.4765743,0.0767810
279.58657,74.47105,10.41942,2.1031,0.1076135,0.23663674,2.5886973,20241109,2.5477326,-0.3513908,-0.0296116
168.61847,236.84088,101.39501,9.92344,0.1051489,0.17344714,3.1843781,20241110,-2.9726035,1.8195532,0.4469114
186.8821,275.80567,3.84475,8.53696,0.1421658,0.21556953,2.7547221,20241111,-0.8048396,3.0047052,0.4581239
300.30273,60.47378,2.53769,7.97175,0.095706,0.1759352,3.1542848,20241109,3.0041235,-0.3487310,-0.0674145
82.70916,152.7727,242.9352,13.0103,0.1529621,0.18380361,3.0636091,20241110,-2.1435699,2.1038267,-0.6622270
115.10791,207.96885,321.47073,15.98119,0.1418746,0.18503421,3.0500106,20241111,1.5763996,-2.8532040,-0.3580080
43.61894,268.38444,159.59111,11.77668,0.2578414,0.22619155,2.6677909,20241110,-1.6799724,1.5335670,-0.1775189
213.67678,158.28985,353.88699,15.57824,0.1877562,0.22387659,2.68615,20241109,3.1208884,-0.2261682,0.0299596
292.50103,195.52367,41.40801,13.86501,0.1975021,0.22684886,2.662635,20240704,-2.0971044,1.3415354,0.5907153
214.16634,183.73473,127.17046,6.43154,0.1682597,0.18158001,3.0885694,20240704,-3.2238308,1.4527962,0.1906322
181.10074,347.8768,343.37138,10.19426,0.1408899,0.23747452,2.5826053,20240703,-2.6061958,1.3706566,0.1020557
344.56801,147.32779,210.76295,5.1742,0.2508072,0.22689997,2.6622352,20241110,1.7920335,-0.9548330,0.1572982
77.41203,189.96114,136.03728,5.41804,0.0795605,0.22171968,2.7035426,20241110,1.6203930,2.1114214,-0.2508326
271.59958,31.81472,41.64857,2.78968,0.1623461,0.17682646,3.1436767,20241111,2.6810490,-1.7612427,-0.1509474
291.59698,57.05876,188.22195,21.45555,0.178956,0.2697139,2.3724687,20240707,-2.0865555,0.8280573,-0.4393669
175.91651,331.64749,61.98689,4.57586,0.1592049,0.17361303,3.1823493,20240712,-3.1679417,-1.8821077,0.1530899
270.87036,304.85388,172.58229,10.00365,0.0655064,0.15135727,3.4871224,20241110,3.2670439,1.2181663,-0.2874767
305.21814,213.21233,349.72664,4.21003,0.0629691,0.16969078,3.2312003,20241110,-2.4613781,1.9190248,0.1066839
337.51652,57.65485,2.74671,7.84577,0.3004128,0.22299289,2.693242,20241103,1.9012502,0.6264605,0.0736705
284.24132,282.22281,56.77063,5.95972,0.0794095,0.21808726,2.7334797,20240925,-0.7364872,-2.5928131,-0.0840140
176.40113,168.30234,305.66215,4.93185,0.1032158,0.23597186,2.5935577,20241111,1.0284746,-2.6688326,-0.0621582
176.67023,16.93091,323.36631,2.59737,0.1283094,0.25968754,2.4331487,20240703,-2.5392754,1.0420052,-0.0308021
312.58894,80.23618,123.32613,5.04241,0.0858967,0.26914035,2.3758381,20241110,-1.9109279,1.1812340,0.0836212
151.73688,352.53434,164.05351,4.94492,0.1386166,0.22516514,2.6758922,20241111,2.1252796,-2.1309636,0.1267573
