m,peri,node,incl,e,n,a,date
16.12446,61.343,1.08304,2.42068,0.133927,0.22600113,2.6692893,20241111
15.9233,153.16278,333.30586,8.67906,0.2032704,0.23219159,2.621632,20240701
24.02553,201.50903,206.51634,4.6132,0.1912313,0.25779171,2.4450632,20241104
304.00728,139.61339,218.64391,8.67689,0.1996869,0.28326484,2.2961889,20241024
36.70071,51.29478,0.90482,7.80043,0.2120684,0.20456905,2.8526124,20241108
245.26651,110.87872,25.42681,2.82634,0.2209041,0.21471397,2.762035,20241110
335.91821,170.00984,27.66873,4.96721,0.0826758,0.25995411,2.431485,20240708
236.07765,15.07102,327.50889,9.31344,0.2357541,0.27137592,2.3627721,20240710
317.06209,122.88739,203.04837,11.96028,0.1933554,0.22797899,2.6538284,20240925
351.88061,309.06612,86.06908,4.82228,0.2165601,0.18023565,3.1039086,20241106
35.43536,264.62921,73.00959,10.88039,0.0939261,0.15199418,3.477374,20241106
115.90366,37.05322,276.3244,5.22264,0.1633931,0.21363624,2.7713163,20241111
213.30076,45.15746,311.53483,16.12175,0.1841269,0.2418769,2.5511723,20240628
138.15278,244.50212,69.91789,2.20608,0.1710753,0.17669895,3.1451889,20241111
279.58657,74.47105,10.41942,2.1031,0.1076135,0.23663674,2.5886973,20241109
168.61847,236.84088,101.39501,9.92344,0.1051489,0.17344714,3.1843781,20241110
186.8821,275.80567,3.84475,8.53696,0.1421658,0.21556953,2.7547221,20241111
300.30273,60.47378,2.53769,7.97175,0.095706,0.1759352,3.1542848,20241109
82.70916,152.7727,242.9352,13.0103,0.1529621,0.18380361,3.0636091,20241110
115.10791,207.96885,321.47073,15.98119,0.1418746,0.18503421,3.0500106,20241111
43.61894,268.38444,159.59111,11.77668,0.2578414,0.22619155,2.6677909,20241110
213.67678,158.28985,353.88699,15.57824,0.1877562,0.22387659,2.68615,20241109
292.50103,195.52367,41.40801,13.86501,0.1975021,0.22684886,2.662635,20240704
214.16634,183.73473,127.17046,6.43154,0.1682597,0.18158001,3.0885694,20240704
181.10074,347.8768,343.37138,10.19426,0.1408899,0.23747452,2.5826053,20240703
344.56801,147.32779,210.76295,5.1742,0.2508072,0.22689997,2.6622352,20241110
77.41203,189.96114,136.03728,5.41804,0.0795605,0.22171968,2.7035426,20241110
271.59958,31.81472,41.64857,2.78968,0.1623461,0.17682646,3.1436767,20241111
291.59698,57.05876,188.22195,21.45555,0.178956,0.2697139,2.3724687,20240707
